1/5 tests.test_0...OK
2/5 transformer.test.perf whole MiMo interleaved decode...[expert-exl3] engaged K=2.5 codebook=tiny window=12
[expert-exl3] engaged K=2.5 codebook=tiny window=12
[mimo-source] loading original shards: resident EXL3 experts, in-memory affine8 trunk and split QKV
Precomputing MoE layer weights...
Batch eval all weights: 0ms
MoE routing compiled (hy3 sigmoid variant)
[perf-model] loaded corrected EXL3 ctx=8192 kv=8 mtp=false
[dtype-trace] moe: residual in = bfloat16, first weight = uint32
[mlp] fused SwiGLU kernel engaged: n=16777216 tg=256
[moe] fused router kernel engaged: mode=sigmoid_bias E=256 K=8 tg=256
[exl3-prefill] GPU window metadata engaged experts=256 win=32
[exl3-gemm] win=32 aligned=1 nwin=512 mixed=0 n=8192
[exl3-gemm] n40 two-funnel reader engaged dtype=float16
[exl3-prefill] sorted finish/reduce engaged dtype=bfloat16
[dtype-trace] moe: residual out = bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] n40 eight-weight lane reader engaged dtype=bfloat16
[exl3-decode] prepared mid engaged dtype=bfloat16 middle=f16 after down-input Hadamard
[perf-width] rows=2 round=1 rep=24 arm=0 ns=50811375
[perf-width] rows=2 round=1 rep=24 arm=1 ns=48684166
[perf-width] rows=2 round=1 rep=25 arm=1 ns=48485791
[perf-width] rows=2 round=1 rep=25 arm=0 ns=52238000
[perf-width] rows=2 round=1 rep=26 arm=0 ns=50308167
[perf-width] rows=2 round=1 rep=26 arm=1 ns=48956334
[perf-width] rows=2 round=1 rep=27 arm=1 ns=48718125
[perf-width] rows=2 round=1 rep=27 arm=0 ns=51189042
[perf-width] rows=2 round=1 rep=28 arm=0 ns=51128459
[perf-width] rows=2 round=1 rep=28 arm=1 ns=48294042
[perf-width] rows=2 round=1 rep=29 arm=1 ns=48437208
[perf-width] rows=2 round=1 rep=29 arm=0 ns=51280625
[perf-width] rows=2 round=2 rep=30 arm=0 ns=50938541
[perf-width] rows=2 round=2 rep=30 arm=1 ns=48931083
[perf-width] rows=2 round=2 rep=31 arm=1 ns=48510542
[perf-width] rows=2 round=2 rep=31 arm=0 ns=51025083
[perf-width] rows=2 round=2 rep=32 arm=0 ns=51035833
[perf-width] rows=2 round=2 rep=32 arm=1 ns=48120875
[perf-width] rows=2 round=2 rep=33 arm=1 ns=48389209
[perf-width] rows=2 round=2 rep=33 arm=0 ns=50995791
[perf-width] rows=2 round=2 rep=34 arm=0 ns=50744375
[perf-width] rows=2 round=2 rep=34 arm=1 ns=48369917
[perf-width] rows=2 round=2 rep=35 arm=1 ns=48406583
[perf-width] rows=2 round=2 rep=35 arm=0 ns=51122375
[perf-width] rows=2 round=2 rep=36 arm=0 ns=50899917
[perf-width] rows=2 round=2 rep=36 arm=1 ns=48987084
[perf-width] rows=2 round=2 rep=37 arm=1 ns=48375125
[perf-width] rows=2 round=2 rep=37 arm=0 ns=51067917
[perf-width] rows=2 round=2 rep=38 arm=0 ns=51128292
[perf-width] rows=2 round=2 rep=38 arm=1 ns=48443250
[perf-width] rows=2 identical argmax at fixed kv=1024
